test type,initial bit length,eve_ratio,sample_ratio,channel_noise,detection_noise,success percentage,final key length average,final key length std,final key length diff,qber average,qber std,qber diff,execution time average,execution time std,execution time diff
Sample ratio,100,0,0.1,0,0,56.99999999999999,2.87,3.2761410226057124,15,0,0,0,0.000186152,0.00028401,0.001807213
Sample ratio,100,0,0.15,0,0,64,2.58,2.7899103928262634,13,0,0,0,0.000147448,0.000166489,0.001312733
Sample ratio,100,0,0.2,0,0,43,1.66,2.526737026285086,9,0,0,0,0.000132461,0.000292565,0.002436638
Sample ratio,100,0,0.25,0,0,33,0.83,1.5300653580811505,8,0,0,0,9.796380996704101e-05,0.000207615,0.001635075
Sample ratio,100,0,0.15,0,0,68,3.11,3.1237637554719146,14,0,0,0,0.000138574,0.000124032,0.00077486
Sample ratio,100,0.1,0.15,0,0,61,2.2,2.4413111231467406,9,0,0,0,0.000119355,0.000142283,0.001157045
Sample ratio,100,0.2,0.15,0,0,52,1.89,2.2973680593235386,8,0,0,0,8.776187896728516e-05,8.62866680749655e-05,0.000258684
Channel noise,100,0.2,0.15,0,0,59,2.72,3.1179480431848123,11,0,0,0,0.000106177,9.299302795502192e-05,0.000328064
Channel noise,100,0.2,0.15,0.05,0,45,1.87,2.7628065440779603,11,0,0,0,8.191823959350585e-05,0.000101234,0.000499964
Channel noise,100,0.2,0.15,0.1,0,42,1.5,2.2561028345356955,14,0,0,0,7.931947708129883e-05,0.000104769,0.000618458
Channel noise,100,0.2,0.15,0.2,0,53,1.94,2.3783187338958585,9,0,0,0,9.807586669921875e-05,0.000118827,0.000828981
Channel noise,100,0.2,0.15,0.3,0,56.99999999999999,2.4,2.835489375751565,10,0,0,0,0.000114403,0.000113688,0.000549555
Detection noise,100,0.2,0.15,0.3,0,54,2.08,2.6932508238186803,10,0,0,0,9.059429168701172e-05,8.602006193783833e-05,0.000309467
Detection noise,100,0.2,0.15,0.3,0.05,56.99999999999999,2.04,2.3405982141324473,9,0,0,0,0.000102239,9.988850972941703e-05,0.000563622
Detection noise,100,0.2,0.15,0.3,0.1,45,1.82,2.578294009611782,10,0,0,0,8.699178695678711e-05,0.000125567,0.000941753
Detection noise,100,0.2,0.15,0.3,0.2,37,2.52,3.7053474870786416,14,0,0,0,7.358789443969726e-05,9.117470229398568e-05,0.000291586
Detection noise,100,0.2,0.15,0.3,0.3,27,2.18,3.427477206342881,13,0.01,0.099498744,1,7.086515426635743e-05,0.000103403,0.000645161
Sample ratio,1000,0,0.1,0,0,100,201.8,9.795917517006766,36,0,0,0,0.000463724,0.000135994,0.000502586
Sample ratio,1000,0,0.15,0,0,100,194.9,11.49304137293519,41,0,0,0,0.00044384,4.315260363966161e-05,0.000154495
Sample ratio,1000,0,0.2,0,0,100,180.4,9.499473669630333,32,0,0,0,0.000431752,3.830333047384946e-05,0.000124693
Sample ratio,1000,0,0.25,0,0,100,162.5,8.891006692158093,28,0,0,0,0.000415874,5.2216940172041554e-05,0.000164509
Eve ratio,1000,0,0.1,0,0,100.0,206.8,14.884891669071697,54,0.0,0.0,0.0,0.00039653778076171876,2.574783780733981e-05,8.58306884765625e-05
Eve ratio,1000,0.1,0.1,0,0,100.0,162.7,36.07783252913068,108,0.02459698433611477,0.02697795507241682,0.08,0.0004706859588623047,9.828548488750306e-05,0.0003719329833984375
Eve ratio,1000,0.2,0.1,0,0,100.0,147.0,55.21050624654695,169,0.03878458498023715,0.040617953897019665,0.13043478260869565,0.00043299198150634763,6.655530115191852e-05,0.00025844573974609375
Channel noise,1000,0,0.15,0,0,100.0,190.3,9.757561170702441,35,0.0,0.0,0.0,0.00045931339263916016,5.517350555344703e-05,0.00019311904907226562
Channel noise,1000,0,0.15,0.05,0,100.0,190.4,15.402597183592123,44,0.0,0.0,0.0,0.000444793701171875,6.326581541968709e-05,0.00022029876708984375
Channel noise,1000,0,0.15,0.1,0,100.0,187.9,9.51262319236918,34,0.0,0.0,0.0,0.00047931671142578127,7.85479190571277e-05,0.0002498626708984375
Channel noise,1000,0,0.15,0.2,0,100.0,198.1,11.335342959081565,41,0.0,0.0,0.0,0.0004435300827026367,7.743768283594997e-05,0.00030517578125
Channel noise,1000,0,0.15,0.3,0,100.0,191.4,8.101851640211638,24,0.0,0.0,0.0,0.0004072666168212891,4.6115700349610995e-05,0.0001552104949951172
Detection noise,1000,0,0.15,0,0,100.0,194.6,8.63944442658207,28,0.0,0.0,0.0,0.00043849945068359376,6.56692198484647e-05,0.00022792816162109375
Detection noise,1000,0,0.15,0,0.05,100.0,167.0,36.60327854168257,103,0.022744565848351262,0.026294303865259362,0.075,0.0005413293838500977,0.0002540435436033406,0.0009012222290039062
Detection noise,1000,0,0.15,0,0.1,80.0,96.7,29.624483117853718,91,0.08254845995539192,0.03314461323492156,0.09631019387116949,0.0004207849502563477,4.266379729856923e-05,0.00016307830810546875
Detection noise,1000,0,0.15,0,0.2,30.0,51.9,41.58473277538284,132,0.09989671181531647,0.06434141294645893,0.19047619047619047,0.0003622531890869141,0.00018634278789042707,0.0005662441253662109
Detection noise,1000,0,0.15,0,0.3,0.0,16.1,24.21342602772272,78,0.06495701697829356,0.08171289634310099,0.19148936170212766,0.0002017498016357422,0.0002478764206721833,0.0005404949188232422
